#
# File 's3x3x3_23.JinsooOh20131108d.bini.txt'
#
# Solution for the s3x3x3_23 matrix multiplication problem in Bini matrix table format
#
# Converted from 'JinsooOh20131108d' solution
#
# Created:   05 Jan 2015 12:43:13
#
Bini 3 3 3 23

product Gamma                        Alpha                        Beta
  1 ;   1  1  0  0  0  0  1  0  0 ;  0 -1  0  0  0  0  0  0  0 ;  0  0  0 -1  0  1  0  0  0
  2 ;   0  0  0  0  0  1  0  0  1 ;  0  0  0  0  1  0  0  0  0 ;  0  0  0 -1  0  1  1  0 -1
  3 ;   0 -1  0  0  0  0  0  0  0 ;  0  1  0  0  0  0  0  0  0 ;  0  0  0  1 -1 -1  0  0  0
  4 ;   0  0  0  1  0  1  1  0  1 ;  0  0  0  0  0  0  0  0  1 ;  0  0  0 -1  0  0  1  0  0
  5 ;   0  0  0  0  0  0  0 -1 -1 ;  0  0  0  0 -1  0  1  0 -1 ;  0  0 -1  0  0 -1  0  0  0
  6 ;   0  0  0  0  1  0  0  1  0 ;  0  0  0  0  1  0  0  0  0 ;  0  0  0  0  1  0  0 -1  0
  7 ;  -1  0 -1  0  0  0  0  0  0 ;  0  0 -1  0  0  0  0  0  0 ; -1  1  1  0  0  0  0  1  1
  8 ;   0  0  0  1  0  0  0  0  0 ;  0  0 -1  0  1  1  0  0  0 ;  0  0  0  0  0  0  1  0 -1
  9 ;   1  0  0  1  0  0  0  0  0 ;  0  0 -1  0  0  0  0  0  0 ; -1  1  1  0  0  0 -1  1  1
 10 ;   0  0  0  1  0  1  0  0  1 ;  0  0  0  0  1  0  0  0  1 ;  0  0  1  1  0  0 -1  0  1
 11 ;   0 -1  1  0  0  0  0  0  0 ;  1  0  0 -1  0  0  0  0  0 ; -1  0  1  0  0  0  0  0  0
 12 ;   0 -1  1 -1  0  0  0  0  0 ;  0  0 -1  1  0  0  0  0  0 ; -1  1  1  0  0  0  0  1  0
 13 ;  -1  0 -1  0  0  0 -1 -1 -1 ;  0  0  0  0  0  0 -1  1  1 ;  0  0  0  0  0 -1  0  0  0
 14 ;   0  0  0  0  0  0  0  1  0 ;  0  0  0  0  1  0  0 -1  0 ;  0 -1  1  0 -1  1  0  0  0
 15 ;   0  0  0  1  0  1  0  0  0 ;  0  0  0  0  0  1  0  0 -1 ;  0  0  0  0  0  0  0 -1  1
 16 ;  -1  0 -1  0  0  0 -1  0  0 ;  0 -1  0  0  0  0 -1  1  1 ;  1  0  0  0  0  1  0  0  0
 17 ;   0  0  0  1  0  1  0 -1  0 ;  0  0  0  1 -1  0  0  0 -1 ;  0  0  1  0  0  0  0  1  0
 18 ;  -1  0 -1  0  0  0  0  0  0 ; -1  1  0  0  0  0  1 -1 -1 ;  1  0  0  0  0  0  0  0  0
 19 ;   0  0  0  0  0  0  0  1  0 ;  0  0  0  1 -1  0 -1  1  0 ;  0 -1  1  0  0  0  0  0  0
 20 ;   0  1  0  0  0  0  0  0  0 ; -1  0  1  0  0  0  0  0  0 ;  1 -1 -1  0  0  0  0  0  0
 21 ;   0  0  0  1  1  1  0  0  0 ;  0  0  0  1 -1 -1  0  0  0 ;  0  0  0  0  0  0  0 -1  0
 22 ;   0 -1  1 -1 -1  0  0 -1  0 ;  0  0  0 -1  0  0  0  0  0 ;  0  1  0  0  0  0  0  1  0
 23 ;   0  0  0  0  0  0  1  0  0 ;  0 -1  0  0  0  0  0  1  1 ;  1  0  0  1  0  0  0  0  0

#

