#
# File 's3x3x3_23.JinsooOh_46_22_1.bini.txt'
#
# Solution for the s3x3x3_23 matrix multiplication problem in Bini matrix table format
#
# Converted from 'JinsooOh_46_22_1' solution
#
# Created:   05 Jan 2015 12:43:16
#
Bini 3 3 3 23

product Gamma                        Alpha                        Beta
  1 ;   0  0  0  0  0  0  0  0  1 ;  0  0  0  0  0  0  0  0  1 ;  1  1  1 -1 -1 -1  1  1  1
  2 ;   0 -1  0  0  0  0  1 -1 -1 ;  0  0  0  0  0  0  0 -1 -1 ;  0 -1  0  0  1  0  0  0  0
  3 ;   0  1  0  0  0  0  0  0  0 ;  0 -1 -1  0  0  0  0  1  1 ;  0  0  0  0  0  0  0 -1  0
  4 ;  -1  0  1  0  0 -1  0  0  0 ;  1  0  0  0  0  1 -1  0  1 ; -1  0  0  0  0  0 -1  0 -1
  5 ;   1  0 -1 -1  0  1  1  0 -1 ;  0  0  0  0  1  0  0  0  0 ;  1  0 -1  0  0  1  1  0  0
  6 ;   0  0  0  0 -1  0  0  0  0 ;  0  0  0  0  0  1  0  0  1 ; -1  0  0  0  0  0 -1 -1  0
  7 ;   0  0  0  0  0  1  0  0  0 ; -1  0  0 -1 -1  0  1  0 -1 ;  0  0 -1  0  0  0  0  0  0
  8 ;   0 -1  0  0  0  0  0  0  0 ;  1  1  0  0  0  0 -1 -1  0 ;  0 -1  0  0  0  0  0  0  0
  9 ;  -1  0  1  1 -1 -1  0  0  0 ;  0  0  0  0 -1 -1  0  0  0 ; -1  0  0  0  0  0 -1  0  0
 10 ;   1  0 -1 -1  0  0  1  0 -1 ;  0  0  0  0  1  0 -1  0  1 ;  0  0  1 -1  0 -1  0  0  0
 11 ;   0 -1  0  0  1  0  0 -1  1 ;  0  1  0  0  0  0  0 -1 -1 ;  0  1  0 -1 -1 -1  0  1  0
 12 ;   0 -1  0  0  1  0  0 -1  0 ;  0  0  0  0  0  0 -1 -1  0 ;  0  1  0  1  0  1  0  0  0
 13 ;  -1  0  0  0  0  0  0  0  0 ; -1  0  1  0  0  0  1  0 -1 ;  0  0  0  0  0  0 -1  0 -1
 14 ;   0 -1  1  0  1  0  0 -1  1 ;  0  1  0  0  0  0  1  0 -1 ;  0  0  0  1  0  1  0  0  0
 15 ;   1  0 -1  0  0  0  0  0  0 ;  0  0  1  0  0  1  0  0  0 ;  0  0  0  0  0  0  0  0 -1
 16 ;   1  0 -1  0  0  0  0  0  0 ;  0 -1  0  0 -1  0  0  0  0 ;  0  0  0 -1  0  0  0  0  0
 17 ;   0  0  0  0  0  0 -1  0  1 ;  0  0  0  0 -1  0  0 -1  0 ;  0 -1  0  1  1  0  0  0  0
 18 ;   0  0  0  1  0  0  0  0  0 ;  0  0  0  1  0 -1  1  0 -1 ;  1  0  0  0  0  0  0  0  0
 19 ;   1  0  0 -1  0  0  1  0  0 ;  0  0  0  0  0  0 -1  0  1 ; -1  0 -1  1  0  1  0  0  0
 20 ;   0  0  0  0 -1  0  0  0  0 ;  0  0  0  1  1  0  1  1  0 ;  0 -1  0  0  0  0  0  0  0
 21 ;   0  0 -1  0  0  1  0  0  0 ;  1  0  0  0  0  0 -1  0  1 ; -1  0 -1  0  0  0 -1  0 -1
 22 ;   0  0  0  0 -1  0  0  1 -1 ;  0  1  0  0  0  0  0 -1  0 ;  0  1  0  0 -1  0  0  1  0
 23 ;   0  0  0  0 -1  0  1  0 -1 ;  0  0  0  0  1  0  0  0 -1 ; -1  1  0  0 -1  0 -1  0  0

#

